# {"t_start": 1617640667.5129921, "env_id": "TVS_LV-v0"} 
r,l,t
0.0,24,2.890151
0.0,24,3.046389
0.0,24,3.187016
0.0,24,3.358896
0.0,24,3.530801
0.0,24,4.218282
0.0,24,4.843318
0.006788,24,5.468326
0.0,24,5.983959
0.0,24,6.62391
0.0,24,7.282569
0.0,24,8.048203
0.0,24,8.673214
0.0,24,9.212177
0.0,24,9.774658
0.038386,24,10.305942
0.0,24,10.868426
0.0,24,11.384081
0.0,24,11.962544
0.02185,24,12.509433
0.0,24,13.065632
0.0,24,13.612541
0.076271,24,14.17503
0.0,24,14.715249
0.020901,24,15.32466
0.0,24,15.855896
0.0,24,16.434049
0.0,24,16.965306
0.0,24,17.527813
0.0,24,18.051094
0.0,24,18.629208
0.0,24,19.160484
0.0,24,19.707367
0.01346,24,20.269848
0.0,24,20.926052
0.0,24,21.519193
0.0,24,22.183268
0.0,24,22.771971
0.0,24,23.590754
0.0,24,24.247956
0.0,24,24.812851
0.0,24,25.612886
0.0,24,26.153776
0.0,24,26.700638
0.0,24,27.263145
0.0,24,27.778799
0.0,24,28.310055
0.0,24,28.825666
0.0,24,29.366523
0.074983,24,29.864436
0.0,24,30.458174
0.088587,24,30.973826
0.0,24,31.536334
0.0,24,32.051967
0.0,24,32.598821
0.0,24,33.114459
0.02655,24,33.661342
0.0,24,34.161342
0.0,24,34.723855
0.0,24,35.255105
0.0,24,35.895741
0.0,24,36.550665
0.0,24,37.208307
0.040921,24,38.020823
0.0,24,38.83333
0.0,24,39.307389
0.0,24,39.69802
0.0,24,40.057401
0.0,24,40.401153
0.0,24,40.948064
0.0,24,41.463694
0.0,24,42.010577
0.0,24,42.541835
0.0,24,43.100605
0.0,24,43.631862
0.002235,24,44.194369
0.0,24,44.715222
0.0,24,45.27773
0.0,24,45.840258
0.020623,24,46.387141
0.0,24,46.918399
0.009508,24,47.43403
0.0,24,47.980912
0.0,24,48.51217
0.0,24,49.090302
0.0,24,50.513637
0.0,24,51.029249
0.0,24,51.654257
0.012793,24,52.185515
0.0,24,52.701167
0.0,24,53.216771
0.0,24,53.763654
0.0,24,54.263687
0.0,24,54.794945
0.0,24,55.310557
0.031376,24,55.85746
0.068243,24,56.357439
0.019971,24,56.888723
0.033978,24,57.404356
0.0,24,57.951216
0.03179,24,58.466848
0.0,24,59.013751
0.026497,24,59.521491
0.0,24,60.068353
0.0,24,60.584005
0.094086,24,61.146513
0.008185,24,61.662117
0.074217,24,62.209
0.0,24,62.738699
0.09526,24,63.2856
0.0,24,63.801212
0.0,24,64.348115
0.036942,24,64.863748
0.00314,24,65.426227
0.057775,24,65.941887
0.0,24,66.536564
0.043311,24,67.069891
0.0,24,67.630516
0.0,24,68.14617
0.041614,24,68.708678
0.0,24,69.208684
0.0,24,69.786796
0.0,24,70.282904
0.045659,24,70.829787
0.060873,24,71.330551
0.0,24,71.877433
