eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2.0,-1.1159018500000002,1128,7.9696465e-06,0.0,0.69312114,-8.0305734e-05,104.7677,1.1920928955078125e-07,1,2048,3.630686340002285,4096
2.0,2.32574869,1187,3.6130487e-08,0.0,0.69148606,-5.638358e-07,97.98775,0.004963099956512451,10,20480,32.21905775699997,40960
2.0,-0.2136001999999996,1401,3.3805634e-08,0.0,0.690025,-5.915994e-06,98.91907,0.011570632457733154,20,40960,59.726134871001705,81920
2.0,-1.8291579100000004,1410,6.683888e-09,0.0,0.6898494,-1.5243131e-06,104.31234,0.017481505870819092,30,61440,87.68172728200443,122880
2.0,1.81969968,1270,7.782574e-07,0.0,0.68859696,-2.9345232e-05,114.702774,0.023906290531158447,40,81920,115.95071457500308,163840
2.0,1.1777015100000003,1464,4.9720395e-08,0.0,0.68749964,-1.013733e-05,104.46438,0.030521690845489502,50,102400,142.99581800400483,204800
2.0,-0.4802737199999999,1436,1.391075e-06,0.0,0.6866533,-4.0377185e-05,108.83343,0.035569965839385986,60,122880,171.3934854390027,245760
2.0,1.9376929100000004,1462,3.622121e-05,0.0,0.68518364,-0.00015292985,115.06131,0.04050147533416748,70,143360,198.90505022300204,286720
2.0,2.11065546,1394,0.00033325405,0.0,0.6803199,-0.0005142119,101.861534,0.050391197204589844,80,163840,227.956017084005,327680
2.0,0.80983327,1309,0.00033982343,0.0,0.6752426,-0.00063372916,96.650665,0.05734062194824219,90,184320,256.7840854370006,368640
2.0,2.35698782,1239,0.00033999883,0.0,0.63822377,-0.0022912933,105.57043,0.05812770128250122,100,204800,286.6096314860042,409600
2.0,3.00479826,1102,0.0028104663,0.04937744,0.5697392,-0.002963775,98.508675,0.06451302766799927,110,225280,320.8282087830012,450560
2.0,6.242546170000001,1408,0.0001507249,0.0,0.5033851,-0.0010170037,111.172134,0.07001197338104248,120,245760,352.1225580970058,491520
2.0,5.540245479999999,1445,0.0011317418,0.01751709,0.44963166,-0.00044273405,100.6818,0.07441830635070801,130,266240,381.7851538340037,532480
2.0,5.98330309,1273,0.0039726286,0.04309082,0.40990454,9.387359e-05,98.87262,0.0810844898223877,140,286720,410.0130762020053,573440
2.0,7.073060599999999,1147,0.0026348347,0.034973145,0.37076744,0.0006979486,97.44112,0.08594506978988647,150,307200,442.64141700800246,614400
2.0,9.01717411,1306,0.00017352695,0.0,0.33677086,-0.0005908832,93.55136,0.09187710285186768,160,327680,474.7847394690034,655360
2.0,6.2169471099999996,876,0.0012467712,0.019104004,0.3031931,0.00019110252,87.75132,0.10101807117462158,170,348160,518.9641141579996,696320
2.0,9.42818972,938,0.00054331665,0.0073242188,0.27733022,-0.00037672068,96.93513,0.10025542974472046,180,368640,564.6174120110009,737280
2.0,6.84192692,719,0.0012609662,0.01763916,0.25643983,0.0005986011,103.9954,0.09797239303588867,190,389120,611.8695663390026,778240
2.0,7.13757855,904,0.00063075486,0.010009766,0.24264991,-0.00012314055,90.3703,0.10175329446792603,200,409600,662.4518164430046,819200
2.0,8.52918708,834,0.00049632526,0.007751465,0.22816354,7.30234e-05,89.32267,0.10885101556777954,210,430080,705.4750836410021,860160
2.0,9.682469939999999,902,0.00086474983,0.012512207,0.21295586,4.7662776e-05,93.14271,0.10308247804641724,220,450560,749.9922659090007,901120
2.0,9.890081,795,0.0007210904,0.010009766,0.19695571,0.00015156182,97.33812,0.10339576005935669,230,471040,795.661363115003,942080
2.0,6.611650389999999,840,0.001094116,0.016113281,0.19080229,-0.0004995943,85.15958,0.11325299739837646,240,491520,842.1678077010001,983040
